id;uf;cidade;bairro;logradouro
27257515;RJ;Volta Redonda;Roma;Rua Guatambu
30431086;MG;Belo Horizonte;Barroca;Rua Ludgero Dolabela
72261055;DF;Brasília;Ceilândia Norte (Ceilândia);QNO 19 Conjunto 55
30644159;MG;Belo Horizonte;Diamante (Barreiro);Rua Geraldo Moreira da Silva
76964496;RO;Cacoal;Village do Sol II;Rua Joaquim Pinheiro Filho
54345130;PE;Jaboatão dos Guararapes;Prazeres;Rua Lago Verde
24461405;RJ;São Gonçalo;Mutuapira;Travessa Dona Chiquita
32285080;MG;Contagem;Monte Castelo;Rua Caparaó
27262250;RJ;Volta Redonda;Bela Vista;Rua Dezessete-I
63503635;CE;Iguatu;Poço Comprido;Rua do Chicão II (Lot P Comprido)
75710868;GO;Catalão;Setor Flamboyant;Rua 09
74823350;GO;Goiânia;Setor Bela Vista;Rua T 64
72225316;DF;Brasília;Ceilândia Norte (Ceilândia);QNN 31 Área Especial F
66113886;PA;Belém;Telégrafo Sem Fio;Vila Jacarandá
64056290;PI;Teresina;Morada do Sol;Praça Leda Torquato
49030050;SE;Aracaju;Farolândia;Rua Frei Damião
67133590;PA;Ananindeua;Cidade Nova;Travessa B (Jd Falcolândia)
72240818;DF;Brasília;Ceilândia Norte (Ceilândia);QNP 9 Conjunto R
36092400;MG;Juiz de Fora;Barreira do Triunfo;Estrada Elias José Mockdeci
28630220;RJ;Nova Friburgo;Córrego D'Antas;Rua Herculano Gomes da Silva
86045700;PR;Londrina;Cafezal;Rua Nelson Roversi Forattini
85801140;PR;Cascavel;Centro;Rua Sete de Setembro
65300489;MA;Santa Inês;Nova Santa Inês;Travessa Newton Bello
63133510;CE;Crato;São José;Rua Celso Saraiva Leão
84605322;PR;União da Vitória;Cristo Rei;Rua das Araucárias
66030540;PA;Belém;Jurunas;Passagem São Miguel
77815020;TO;Araguaína;Loteamento Nova Araguaína;Rua 62
76960043;RO;Cacoal;Vista Alegre;Avenida Primavera
26277050;RJ;Nova Iguaçu;Vila Borges;Rua Álvaro Fonseca
60410804;CE;Fortaleza;Vila União;Rua do Helicóptero
67020480;PA;Ananindeua;Águas Lindas;Rua Dez (Júlia Seffer)
25902360;RJ;Magé;Nova Marília;Rua Sessenta e Dois
89015903;SC;Blumenau;Vorstadt;Rua Antônio Treis
45992423;BA;Teixeira de Freitas;Liberdade II;Rua Andaraí
41640450;BA;Salvador;Itapuã;Rua Um
41385765;BA;Salvador;Sete de Abril;Rua João Pedro
30310702;MG;Belo Horizonte;Anchieta;Rua Montes Claros
52021070;PE;Recife;Espinheiro;Rua Doutor Joaquim Arruda Falcão
32056350;MG;Contagem;Buganvile I;Rua Ipê Amarelo
58027612;PB;João Pessoa;Alto do Céu;Rua do Oeste
26582660;RJ;Mesquita;Cosmorama;Vila Tulipas
58808445;PB;Sousa;Augusto Braga;Travessa Cilírio José
26435255;RJ;Japeri;Centro de Japeri;Rua Norberto Finamore Marques
49001338;SE;Aracaju;Zona de Expansão (Aruana);Rua G (Cj Horto Carvalho II)
84022492;PR;Ponta Grossa;Neves;Rua Quatro
87060525;PR;Maringá;Jardim Portugal;Rua Pioneiro João Benedito da Silva
96222224;RS;Rio Grande;Quinta;Rua E (Nova Quinta)
32240371;MG;Contagem;Bandeirantes;Beco Um
70374510;DF;Brasília;Asa Sul;CLS 111 Bloco A
72885278;GO;Cidade Ocidental;Parque Araguari;Quadra 32
88107130;SC;São José;Forquilhas;Servidão Édio de Souza Lopes
25571251;RJ;São João de Meriti;Jardim Metrópole;Praça José Maria
27264520;RJ;Volta Redonda;Conforto;Rua 3
87060470;PR;Maringá;Jardim Universo;Rua Nelson Movio
66033140;PA;Belém;Batista Campos;Vila Coração de Jesus
31250230;MG;Belo Horizonte;Ermelinda;Rua Espera Feliz
81110190;PR;Curitiba;Capão Raso;Rua André Oszika
24344030;RJ;Niterói;Itaipu;Rua Engenho do Mato (Lot Bairro Peixoto)
71505280;DF;Brasília;Setor de Habitações Individuais Norte;SHIN QI 3 Conjunto 8
23898395;RJ;Seropédica;Campo Lindo;Rua Quatro
72260622;DF;Brasília;Ceilândia Norte (Ceilândia);QNO 16 Conjunto 22
55196305;PE;Santa Cruz do Capibaribe;Bela Vista;Rua Severino Santana da Silva (Lot Novo Progresso)
