id;estado_id;cidade_id;bairro_id;rua_id
27257515;33;3306305;1;1
30431086;31;3106200;2;2
72261055;53;5300108;3;3
30644159;31;3106200;4;4
76964496;11;1100049;5;5
54345130;26;2607901;6;6
24461405;33;3304904;7;7
32285080;31;3118601;8;8
27262250;33;3306305;9;9
63503635;23;4110052;10;10
75710868;52;5205109;11;11
74823350;52;5208707;12;12
72225316;53;5300108;3;13
66113886;15;2700805;13;14
64056290;22;2211001;14;15
49030050;28;2800308;15;16
67133590;15;1500800;16;17
72240818;53;5300108;3;18
36092400;31;3136702;17;19
28630220;33;3303401;18;20
86045700;41;4113700;19;21
85801140;41;4104808;20;22
65300489;21;4123600;21;23
63133510;23;2304202;22;24
84605322;41;4128203;23;25
66030540;15;2700805;24;26
77815020;17;1702109;25;27
76960043;11;1100049;26;28
26277050;33;3303500;27;29
60410804;23;2304400;28;30
67020480;15;1500800;29;31
25902360;33;3302502;30;32
89015903;42;4202404;31;33
45992423;29;2931350;32;34
41640450;29;2927408;33;35
41385765;29;2927408;34;36
30310702;31;3106200;35;37
52021070;26;2611606;36;38
32056350;31;3118601;37;39
58027612;25;2507507;38;40
26582660;33;3302858;39;41
58808445;25;2516201;40;42
26435255;33;3302270;41;43
49001338;28;2800308;42;44
84022492;41;4119905;43;45
87060525;41;4115200;44;46
96222224;43;4315602;45;47
32240371;31;3118601;46;48
70374510;53;5300108;47;49
72885278;52;5205497;48;50
88107130;42;4216602;49;51
25571251;33;3305109;50;52
27264520;33;3306305;51;53
87060470;41;4115200;52;54
66033140;15;2700805;53;55
31250230;31;3106200;54;56
81110190;41;4106902;55;57
24344030;33;3303302;56;58
71505280;53;5300108;57;59
23898395;33;3305554;58;45
72260622;53;5300108;3;60
55196305;26;2612505;9;61
94075202;43;4309209;59;62
99711370;43;4307005;60;63
24808324;33;3301900;61;64
59152010;24;2610400;62;65
29208097;32;3202405;63;66
55043180;26;2604106;64;67
49063151;28;2800308;65;68
89812585;42;4204202;66;69
76963671;11;1100049;67;70
26021150;33;3303500;68;71
24474365;33;3304904;69;72
21843155;33;3304557;70;73
32073102;31;3118601;71;74
26483055;33;3302270;72;75
26053027;33;3303500;73;76
60130520;23;2304400;74;77
22640350;33;3304557;75;78
32315070;31;3118601;76;79
72241308;53;5300108;3;80
