id;uf;cidade;bairro;logradouro
74483570;GO;Goiânia;Parque João Braz - Cidade Industrial;Rua Trindade
41940440;BA;Salvador;Rio Vermelho;Praça Brigadeiro Faria Rocha
67133825;PA;Ananindeua;Cidade Nova;Travessa We 50-B (Cj Cidade Nova VIII)
96065700;RS;Pelotas;Três Vendas;Rua Padre José Maurício
74930590;GO;Aparecida de Goiânia;Setor Garavelo;Avenida 13 de Maio
68909831;AP;Macapá;Novo Horizonte;Avenida Maria das Graças Picanço
70655091;DF;Brasília;Cruzeiro Novo;SHCES Quadra 909 Bloco A
23587585;RJ;Rio de Janeiro;Paciência;Rua 3 (Cj Pacuare II)
96408450;RS;Bagé;São Jorge;Rua Telêmaco Collares
23815115;RJ;Itaguaí;Parque Paraíso;Rua Flores
47813387;BA;Barreiras;São Sebastião;Rua Irajá
27510090;RJ;Resende;Jardim Jalisco;Rua Augusto Xavier de Lima
86036692;PR;Londrina;Jardim Santa Alice;Rua Irene Perine Acquarole
21521020;RJ;Rio de Janeiro;Pavuna;Alameda Santa Cruz
52060105;PE;Recife;Tamarineira;Rua Isaac Salazar
91760141;RS;Porto Alegre;Jardim Isabel;Praça Bispo Machado Krischke
58465970;PB;Riacho de Santo Antônio;Centro;Rua Joaquim Santana
80540290;PR;Curitiba;Ahú;Rua Marechal Hermes
36021570;MG;Juiz de Fora;Bom Pastor;Rua Pedro Gonçalves de Oliveira
59037120;RN;Natal;Quintas;Rua Salete
30130912;MG;Belo Horizonte;Funcionários;Rua Alagoas
26480508;RJ;Japeri;Laranjal Santo Antônio;Rua Oito (Vl Laranjal)
55817142;PE;Carpina;São José;2ª Travessa Vereador Sérgiorlando Santa Cruz
41635415;BA;Salvador;Itapuã;5ª Travessa da Ilha
94458100;RS;Viamão;Branquinha;Avenida Barrerito
62886895;CE;Horizonte;Lagoinha;Rua Juraci Matos de Sousa
55036047;PE;Caruaru;Kennedy;Rua Manoel Romário
58434066;PB;Campina Grande;Serrotão;Rua Francisco José Venâncio
70232110;DF;Brasília;Asa Sul;SQS 202 Bloco K
54730681;PE;São Lourenço da Mata;Pixete;Travessa Nova Esperança-J
60540700;CE;Fortaleza;Granja Portugal;Vila Maria Goreti
68928036;AP;Santana;Paraíso;Travessa Cinco
32187648;MG;Contagem;Conjunto Habitacional Nova Pampulha;Rua Quinze
96080120;RS;Pelotas;Areal;Rua Gago Coutinho
73010123;DF;Brasília;Sobradinho;Quadra 12 Conjunto C
25625280;RJ;Petrópolis;Centro;Rua Carlos de Souza Rodrigues
60050125;CE;Fortaleza;Fátima;Rua Barão de Aratanha
88160136;SC;Biguaçu;Centro;Travessa João Amorim Lisboa
54740560;PE;São Lourenço da Mata;Capibaribe;Avenida Assembléia de Deus
91712260;RS;Porto Alegre;Cascata;Travessa Unidos
57242200;AL;São Miguel dos Campos;Coité;Rodovia Municipal Áureo César Teixeira
97110560;RS;Santa Maria;Pé de Plátano;Avenida Oy Pavão
89509015;SC;Caçador;Bello;Rua João Balzan
81230550;PR;Curitiba;Cidade Industrial;Rua Natálio Scussiato
82110490;PR;Curitiba;Pilarzinho;Rua Adelina Gasparim Wille
63504734;CE;Iguatu;Cohabs;Rua Guilhardo Gomes de Araújo
