id;nome
1;Roma
2;Barroca
3;Ceilândia Norte (Ceilândia)
4;Diamante (Barreiro)
5;Village do Sol II
6;Prazeres
7;Mutuapira
8;Monte Castelo
9;Bela Vista
10;Poço Comprido
11;Setor Flamboyant
12;Setor Bela Vista
13;Telégrafo Sem Fio
14;Morada do Sol
15;Farolândia
16;Cidade Nova
17;Barreira do Triunfo
18;Córrego D'Antas
19;Cafezal
20;Centro
21;Nova Santa Inês
22;São José
23;Cristo Rei
24;Jurunas
25;Loteamento Nova Araguaína
26;Vista Alegre
27;Vila Borges
28;Vila União
29;Águas Lindas
30;Nova Marília
31;Vorstadt
32;Liberdade II
33;Itapuã
34;Sete de Abril
35;Anchieta
36;Espinheiro
37;Buganvile I
38;Alto do Céu
39;Cosmorama
40;Augusto Braga
41;Centro de Japeri
42;Zona de Expansão (Aruana)
43;Neves
44;Jardim Portugal
45;Quinta
46;Bandeirantes
47;Asa Sul
48;Parque Araguari
49;Forquilhas
50;Jardim Metrópole
51;Conforto
52;Jardim Universo
53;Batista Campos
54;Ermelinda
55;Capão Raso
56;Itaipu
57;Setor de Habitações Individuais Norte
58;Campo Lindo
59;São Judas Tadeu
60;Santa Catarina
61;Ampliação
62;Nova Parnamirim
63;Meaípe
64;Nossa Senhora das Graças
65;Japãozinho
66;Esplanada
67;Jardim Clodoaldo
68;Kennedy
69;Itaúna
70;Senador Camará
71;Industrial São Luiz
72;Parque Santo Antônio
73;Nova Brasília
74;São João do Tauape
75;Barra da Tijuca
76;Eldorado
77;Cidade Jardim
78;Lomba do Pinheiro
79;Estados
80;Oliveira
81;Pilarzinho
82;Ibura
83;Parque Ibituruna
84;Pauline
85;São Braz
86;Setor São José
87;Santa Maria
88;Parque Aeroporto
89;Liberdade
90;Chaperó
91;Redentor
92;Juscelino
93;Marambaia
94;Vila Sílvia Regina
95;Frimisa
96;Vila Bonsucesso
97;Iparana
98;Pium (Distrito Litoral)
99;Petrópolis
100;Jardim Caetés
101;Goiá Setor Veloso
102;Campina da Barra
103;Novo Alvorada
104;Sertão do Rio Doce I
105;Barreiro
106;Jardim Marízia I
107;Jardim Conquista
108;Metrópole
109;Juscelino Kubitschek
110;Pedro do Rio
111;Jardim Noroeste
112;São Lourenço
113;Jóquei Club
114;Azteca
115;Jardim Barcelona
116;Maranguape II
117;Cajupiranga
118;Alto Caiçaras
119;Várzea
120;Periperi
121;Serra Grande
122;Residencial Damha
123;COHAB
124;Rio Doce
125;Graça
126;Paranoá
127;Setor Oeste (Vila Estrutural)
128;Castanheira
129;Nova Lima
130;Engenho de Dentro
131;Três Vendas
132;Nova Marabá
133;Phoc I
134;Jardim Europa
135;Industrial
136;Parque Horizonte
137;Ana Rita
138;Aleixo
139;Asa Norte
140;Vila Independência
141;Tomba
142;Fazenda Grande do Retiro
143;Parque Vale dos Buritys I
144;Parque Bela Vista
145;Loteamento Portal do Sol II
146;Oceania
147;Independência
148;Jardim Iracema
149;Residencial Ana Cardoso
150;Quintino Cunha
151;Boca da Mata de Valéria
152;Vila Esperança
153;Shopping Park
154;Jardim do Sol
155;Garapu
156;Parque Colonial
157;Vila Paris
158;Alto José Bonifácio
159;Fortaleza
160;Oficinas
161;Barreiras II
162;Loteamento Jacob
163;Espírito Santo
164;Penha
165;São Carlos
166;Vila Cabral
167;Setor Aeroporto
168;Vila Maia
169;São Cristóvão
170;Marcírio Machado
171;República
172;Tabajaras
173;Jardim Placaford
174;Riacho Fundo II
175;Miguel Couto
176;Jardim da Paz (Guia de Pacobaíba)
177;Fanny
178;Neópolis
179;Aviário
180;Itacaranha
181;Alto dos Pinheiros
182;Jardim Casa Branca
183;Jardim da Penha
184;Nova Almeida Centro
185;Iputinga
186;São Caetano
187;Arruda
188;Conjunto Habitacional Madre Germana II
189;Plano Diretor Norte
190;Jardim Belvedere
191;Nossa Senhora da Conceição Aparecida
192;Cidade Velha
193;Cachoeira
194;Pero Vaz
