id;pessoa_id;data_ocorrencia
1;1;2021-12-11
2;2;2021-09-04
3;3;2022-04-15
4;4;2022-05-17
5;5;2021-10-02
6;6;2021-09-26
7;7;2021-08-17
8;8;2021-07-03
9;9;2022-04-04
10;10;2022-05-18
11;11;2022-01-04
12;12;2022-04-28
13;13;2022-02-18
14;14;2021-10-24
15;15;2022-05-19
16;16;2021-06-23
17;17;2022-02-15
18;18;2021-12-15
19;19;2022-01-12
20;20;2022-03-21
21;21;2021-10-26
22;22;2022-04-09
23;23;2021-09-08
24;24;2022-03-18
25;25;2022-01-07
26;26;2022-04-26
27;27;2022-01-29
28;28;2021-08-18
29;29;2021-11-26
30;30;2022-05-13
31;31;2021-12-23
32;32;2022-05-26
33;33;2021-11-30
34;34;2022-02-23
35;35;2022-01-12
36;36;2022-04-23
37;37;2021-08-22
38;38;2021-10-31
39;39;2021-09-12
40;40;2021-06-25
41;41;2022-06-11
42;42;2022-01-18
43;43;2021-06-15
44;44;2021-11-07
45;45;2022-04-01
46;46;2021-09-18
47;47;2021-07-21
48;48;2021-08-30
49;49;2021-08-12
50;50;2021-06-18
51;51;2021-09-09
52;52;2022-01-04
53;53;2021-08-19
54;54;2021-11-21
55;55;2021-07-24
56;56;2022-03-13
57;57;2022-03-14
58;58;2021-07-10
59;59;2021-10-11
60;60;2021-10-01
61;61;2022-05-28
62;62;2022-04-29
63;63;2022-05-16
64;64;2021-08-19
65;65;2022-03-27
66;66;2021-08-09
67;67;2021-09-23
68;68;2021-10-05
69;69;2021-12-23
70;70;2021-08-18
71;71;2022-04-12
72;72;2022-06-09
73;73;2021-06-29
74;74;2021-12-25
75;75;2021-08-12
76;76;2022-03-17
77;77;2022-01-11
78;78;2022-03-23
79;79;2021-06-15
80;80;2022-04-27
81;81;2022-01-12
82;82;2021-10-15
83;83;2021-12-08
84;84;2021-06-23
85;85;2021-07-10
86;86;2022-03-31
87;87;2022-06-03
88;88;2022-01-19
89;89;2022-01-12
90;90;2022-02-11
91;91;2022-01-04
92;92;2022-01-27
93;93;2021-10-10
94;94;2022-04-12
95;95;2021-11-22
96;96;2021-07-24
97;97;2022-05-21
98;98;2021-08-20
99;99;2022-05-04
100;100;2021-09-10
101;101;2022-04-03
102;102;2022-04-12
103;103;2022-06-08
104;104;2021-09-26
105;105;2022-05-11
106;106;2022-06-04
107;107;2022-04-28
108;108;2022-04-25
109;109;2021-09-12
110;110;2022-05-07
111;111;2022-06-11
112;112;2021-09-21
113;113;2021-07-07
114;114;2021-09-08
115;115;2021-07-30
116;116;2021-12-05
117;117;2021-10-03
118;118;2022-01-05
119;119;2022-01-11
120;120;2021-12-06
121;121;2021-11-26
122;122;2021-07-13
123;123;2021-07-03
124;124;2021-08-08
125;125;2022-01-30
126;126;2021-09-04
127;127;2022-03-16
128;128;2022-02-06
129;129;2022-01-22
130;130;2022-06-13
131;131;2021-10-22
132;132;2022-03-22
133;133;2022-04-11
134;134;2022-04-17
135;135;2021-11-15
136;136;2021-07-04
137;137;2022-01-16
138;138;2021-12-31
139;139;2021-09-06
140;140;2021-06-27
141;141;2021-07-29
142;142;2022-01-15
143;143;2021-07-25
144;144;2021-11-26
145;145;2022-04-25
146;146;2022-02-26
147;147;2021-09-09
148;148;2021-08-30
149;149;2021-06-27
150;150;2021-12-24
151;151;2021-09-15
152;152;2022-03-26
153;153;2022-04-09
154;154;2022-01-17
155;155;2021-11-12
156;156;2021-11-19
157;157;2021-08-13
158;158;2022-02-24
159;159;2021-11-27
160;160;2021-09-23
161;161;2022-05-15
162;162;2022-03-02
163;163;2022-03-15
164;164;2021-11-23
165;165;2021-07-02
166;166;2021-06-22
167;167;2022-06-01
168;168;2021-07-23
169;169;2021-09-11
170;170;2022-02-24
171;171;2022-02-02
172;172;2021-11-22
173;173;2022-05-23
174;174;2022-01-08
175;175;2021-11-15
176;176;2021-06-15
177;177;2021-11-11
178;178;2022-04-06
179;179;2021-09-30
180;180;2021-06-22
181;181;2021-09-07
182;182;2021-07-05
183;183;2021-09-18
184;184;2022-02-14
185;185;2022-01-31
186;186;2021-08-29
187;187;2021-07-05
188;188;2021-07-13
189;189;2021-10-13
190;190;2022-05-15
191;191;2021-10-03
192;192;2021-07-25
193;193;2021-06-26
194;194;2021-09-06
195;195;2021-09-06
196;196;2022-01-26
197;197;2021-09-04
198;198;2022-04-20
199;199;2021-09-17
200;200;2021-08-12
201;201;2021-11-30
202;202;2022-04-03
203;203;2021-08-05
204;204;2021-09-02
205;205;2021-10-29
206;206;2021-06-24
207;207;2021-08-24
208;208;2022-04-08
209;209;2022-04-01
210;210;2022-05-07
211;211;2021-08-04
212;212;2021-09-15
213;213;2021-07-05
214;214;2021-07-18
215;215;2022-02-24
216;216;2022-04-26
217;217;2022-06-09
218;218;2021-08-29
219;219;2021-08-16
220;220;2022-06-09
221;221;2022-03-08
222;222;2022-06-05
223;223;2022-01-10
224;224;2022-04-16
225;225;2021-10-04
226;226;2022-05-13
227;227;2022-03-06
228;228;2022-01-03
229;229;2022-01-09
230;230;2021-09-14
231;231;2022-02-09
232;232;2021-06-29
233;233;2022-05-09
234;234;2021-07-12
235;235;2022-06-04
236;236;2022-03-11
237;237;2021-10-25
238;238;2022-05-26
239;239;2022-05-14
240;240;2022-05-28
241;241;2022-04-30
242;242;2021-07-16
243;243;2022-03-10
244;244;2021-09-07
245;245;2022-04-13
246;246;2021-06-15
247;247;2021-09-21
248;248;2021-10-14
249;249;2021-11-13
250;250;2021-09-21
251;251;2021-07-26
252;252;2022-06-01
253;253;2021-09-06
254;254;2022-04-02
255;255;2022-05-27
256;256;2021-07-06
257;257;2022-06-08
258;258;2022-05-22
259;259;2022-02-23
260;260;2021-07-27
261;261;2021-12-15
262;262;2021-07-13
263;263;2021-12-11
264;264;2022-05-18
265;265;2021-11-02
266;266;2021-07-25
267;267;2022-06-15
268;268;2021-06-28
269;269;2021-10-15
270;270;2022-03-29
271;271;2021-09-20
272;272;2022-01-23
273;273;2022-05-17
274;274;2022-02-10
275;275;2021-10-18
276;276;2021-12-11
277;277;2022-01-07
278;278;2021-12-17
279;279;2022-04-13
280;280;2021-07-19
281;281;2021-09-23
282;282;2021-12-03
283;283;2022-03-04
284;284;2022-05-25
285;285;2022-04-04
286;286;2022-05-10
287;287;2021-12-06
288;288;2022-04-28
289;289;2022-04-18
290;290;2022-01-22
291;291;2022-02-01
292;292;2022-03-19
293;293;2022-05-03
294;294;2022-05-30
295;295;2022-02-26
296;296;2022-06-14
297;297;2022-01-31
298;298;2021-11-26
299;299;2022-06-08
300;300;2022-05-03
301;301;2022-03-10
302;302;2022-05-29
303;303;2022-04-25
304;304;2022-04-10
305;305;2022-03-31
306;306;2021-08-31
307;307;2022-03-04
308;308;2021-10-24
309;309;2021-06-19
310;310;2021-06-26
311;311;2021-06-28
312;312;2021-11-20
313;313;2021-11-20
314;314;2022-05-09
315;315;2022-05-12
316;316;2021-12-08
317;317;2022-05-03
318;318;2021-06-22
319;319;2021-12-22
320;320;2022-01-11
321;321;2021-09-20
322;322;2022-05-01
323;323;2021-12-20
324;324;2022-02-22
325;325;2021-07-22
326;326;2022-05-06
327;327;2022-01-16
328;328;2022-04-27
329;329;2022-03-05
330;330;2021-10-12
331;331;2021-09-26
332;332;2022-05-31
333;333;2022-03-22
334;334;2021-11-17
335;335;2021-07-26
336;336;2021-11-28
337;337;2021-12-13
338;338;2021-08-10
339;339;2022-01-26
340;340;2022-02-19
341;341;2022-05-11
342;342;2022-02-08
343;343;2021-07-06
344;344;2022-02-16
345;345;2022-04-19
346;346;2022-04-01
347;347;2021-10-21
348;348;2021-08-16
349;349;2021-08-27
350;350;2021-09-30
351;351;2021-09-25
352;352;2022-03-06
353;353;2021-10-19
354;354;2021-11-29
355;355;2021-09-07
356;356;2021-11-13
357;357;2022-03-02
358;358;2021-07-24
359;359;2022-01-20
360;360;2022-03-20
361;361;2022-06-05
362;362;2022-02-18
363;363;2021-07-02
364;364;2022-02-19
365;365;2021-07-06
366;366;2021-09-17
367;367;2022-03-25
368;368;2021-06-17
369;369;2021-12-21
370;370;2022-06-12
371;371;2022-06-04
372;372;2022-01-07
373;373;2021-07-04
374;374;2021-07-09
375;375;2022-01-04
376;376;2021-08-16
377;377;2021-12-25
378;378;2021-07-08
379;379;2022-01-08
380;380;2022-05-03
381;381;2021-11-19
382;382;2021-11-05
383;383;2022-02-02
384;384;2021-08-09
385;385;2021-11-21
386;386;2021-08-12
387;387;2021-12-22
388;388;2022-05-08
389;389;2022-02-02
390;390;2021-07-12
391;391;2022-04-24
392;392;2021-07-25
393;393;2021-10-15
394;394;2021-09-09
395;395;2022-01-31
396;396;2021-07-25
397;397;2021-07-02
398;398;2022-03-14
399;399;2021-09-07
400;400;2022-01-11
401;401;2021-12-03
402;402;2021-11-01
403;403;2022-01-15
404;404;2022-05-22
405;405;2021-09-28
406;406;2022-01-24
407;407;2021-08-22
408;408;2021-11-06
409;409;2022-04-28
410;410;2022-03-26
411;411;2021-08-31
412;412;2022-02-02
413;413;2021-12-03
414;414;2022-02-05
415;415;2021-11-19
416;416;2022-01-08
417;417;2022-04-29
418;418;2021-12-20
419;419;2021-09-13
420;420;2022-01-28
421;421;2022-02-12
422;422;2022-05-10
423;423;2021-10-22
424;424;2021-07-12
425;425;2021-10-02
426;426;2021-08-05
427;427;2021-06-26
428;428;2022-04-10
429;429;2022-03-27
430;430;2022-04-01
431;431;2021-11-19
432;432;2022-04-26
433;433;2021-11-20
434;434;2022-02-10
435;435;2021-06-29
436;436;2022-05-04
437;437;2021-08-06
438;438;2022-03-07
439;439;2022-04-10
440;440;2021-10-30
441;441;2021-11-10
442;442;2021-12-14
443;443;2022-02-21
444;444;2021-08-21
445;445;2021-11-12
446;446;2021-09-06
447;447;2021-12-17
448;448;2022-06-11
449;449;2022-05-04
450;450;2021-12-31
451;451;2021-07-08
452;452;2021-09-08
453;453;2021-06-27
454;454;2022-04-22
455;455;2021-10-11
456;456;2022-02-11
457;457;2021-12-09
458;458;2021-09-04
459;459;2021-09-20
460;460;2022-06-07
461;461;2021-08-15
462;462;2022-06-10
463;463;2022-04-24
464;464;2021-08-14
465;465;2021-09-09
466;466;2022-02-17
467;467;2021-11-22
468;468;2022-04-06
469;469;2021-08-23
470;470;2021-10-09
471;471;2022-03-29
472;472;2021-09-23
473;473;2022-03-19
474;474;2021-08-26
475;475;2022-03-05
476;476;2021-06-17
477;477;2021-07-02
478;478;2021-12-12
479;479;2021-10-19
480;480;2022-03-26
481;481;2021-07-16
482;482;2022-06-12
483;483;2022-03-18
484;484;2022-05-07
485;485;2022-06-14
486;486;2021-11-18
487;487;2021-10-09
488;488;2022-01-31
489;489;2021-11-13
490;490;2021-12-20
491;491;2021-07-25
492;492;2021-09-07
493;493;2022-04-22
494;494;2021-07-01
495;495;2022-03-03
496;496;2021-11-08
497;497;2022-03-07
498;498;2022-01-08
499;499;2022-02-07
500;500;2021-12-19
501;501;2022-02-22
502;502;2021-11-01
503;503;2021-10-31
504;504;2021-10-08
505;505;2021-11-06
506;506;2022-04-27
