id;nome
1;Rua Guatambu
2;Rua Ludgero Dolabela
3;QNO 19 Conjunto 55
4;Rua Geraldo Moreira da Silva
5;Rua Joaquim Pinheiro Filho
6;Rua Lago Verde
7;Travessa Dona Chiquita
8;Rua Caparaó
9;Rua Dezessete-I
10;Rua do Chicão II (Lot P Comprido)
11;Rua 09
12;Rua T 64
13;QNN 31 Área Especial F
14;Vila Jacarandá
15;Praça Leda Torquato
16;Rua Frei Damião
17;Travessa B (Jd Falcolândia)
18;QNP 9 Conjunto R
19;Estrada Elias José Mockdeci
20;Rua Herculano Gomes da Silva
21;Rua Nelson Roversi Forattini
22;Rua Sete de Setembro
23;Travessa Newton Bello
24;Rua Celso Saraiva Leão
25;Rua das Araucárias
26;Passagem São Miguel
27;Rua 62
28;Avenida Primavera
29;Rua Álvaro Fonseca
30;Rua do Helicóptero
31;Rua Dez (Júlia Seffer)
32;Rua Sessenta e Dois
33;Rua Antônio Treis
34;Rua Andaraí
35;Rua Um
36;Rua João Pedro
37;Rua Montes Claros
38;Rua Doutor Joaquim Arruda Falcão
39;Rua Ipê Amarelo
40;Rua do Oeste
41;Vila Tulipas
42;Travessa Cilírio José
43;Rua Norberto Finamore Marques
44;Rua G (Cj Horto Carvalho II)
45;Rua Quatro
46;Rua Pioneiro João Benedito da Silva
47;Rua E (Nova Quinta)
48;Beco Um
49;CLS 111 Bloco A
50;Quadra 32
51;Servidão Édio de Souza Lopes
52;Praça José Maria
53;Rua 3
54;Rua Nelson Movio
55;Vila Coração de Jesus
56;Rua Espera Feliz
57;Rua André Oszika
58;Rua Engenho do Mato (Lot Bairro Peixoto)
59;SHIN QI 3 Conjunto 8
60;QNO 16 Conjunto 22
61;Rua Severino Santana da Silva (Lot Novo Progresso)
62;Beco Guarujá
63;Rua Nery Tirello
64;Rua Miguel Ângelo Gimenez
65;Rua da Figueira
66;Rua Ponte Nova
67;Rua Estrelícia
68;Rua Invasão da Jetimana
69;Rua Jardim Europa
70;Avenida Amazonas
71;Rua Goitas
72;Rua Sapopemba
73;Rua São Lourenço
74;Beco Valadares
75;Rua Adalgiza (Santa Amélia)
76;Rua Salitre
77;Vila Amílcar
78;Rua Doutor Sebastião de Aquino (Ia Gigóia)
79;Rua Cedros
80;QNP 13 Conjunto H
81;Rua Abilio Santos Carvalho
82;Estrada Afonso Lourenço Mariante
83;Rua San Juan
84;Rua Aurélio Porto (Otaviano)
85;Rua Anna Garcia de Moura
86;Rua Monsenhor Hipólito
87;Rua do Curral
88;Rua Waldemar Guidorizzi
89;Rua Mariano Osvaldo Polzin
90;Avenida Padre Wendel
91;QR 304 Módulo I
92;Rua São José Carpinteiro
93;Rua Alberto Teixeira da Cunha
94;Rua C (Cj Promorar)
95;Rua Elisabeth Cavalcante Jacob
96;Beco Brasil
97;Rua Ladislau
98;Travessa Beira Rio
99;Rua Frederico Guerra
100;Rua Vinte e Seis de Julho
101;Avenida Vinte e Dois de Maio
102;Avenida Paragominas
103;Rua Palmares
104;Travessa Cinco
105;Viela da Quadra 3
106;Rua Isaias Barbosa
107;Rua Principal
108;Rua Joaquim Pedro dos Santos
109;Rua Gaspar
110;Rua F (Cj Franco Freire I)
111;Rua Uruguai
112;Travessa Etelvina Rosa
113;Travessa Leão Dias Feijó
114;Rua Iguapó
115;Rua Leonor Cordeiro Iarek
116;Rodovia MG-05
117;Vila Sebastião Mendes
118;Rua Antônia Carolina da Silva
119;Travessa Xingu
120;Rua Equador
121;Rua Teotônio Vilela
122;Rua Victorino Leonardo
123;Rua das Laranjeiras
124;Rua Luís Antônio de Oliveira
125;Avenida Brasil
126;Rua Rio Bahia
127;Rua Silvano Caramori Neto
128;Rua Trinta e Cinco
129;Rua Maria Eutália Dantas da Silva
130;Rua Realengo
131;3ª Travessa do Bambu
132;1ª Avenida Engenheiro Durval
133;Rua Brilhante
134;Travessa Vinte e Quatro de Janeiro
135;Alameda Iuca
136;Rua Cinqüenta
137;Rua Amália Bernardino de Sousa (4ª Etapa)
138;Avenida Reitor Miguel Calmon
139;Quadra 38 Conjunto B
140;Quadra 2 Conjunto 9
141;Passagem Dezenove de Junho
142;Rua Firmo Cristaldo
143;Rua Décio Alves
144;Rua Três (Quatro de Agosto)
145;Quadra Quatorze (Fl.30)
146;Rua Acajutiba
147;Praça Virgínia Jahara
148;Rua Otília Alves Cabral Albuquerque (Lot Primavera)
149;Rua Maria Francisca Moura
150;Rua Epitácio
151;Avenida Acesita
152;Beco Parintins
153;SQN 308 Bloco D
154;Rua Darci Noronha Filho
155;Rua Senador Quintino
156;Travessa Santana
157;Avenida Mauro Borges
158;Avenida Antônio Carlos Magalhães
159;Rua SB 49
160;Rua Desembargador Ermelino de Leão
161;Rua Teodósio Passos Guieiro
162;Rua Eretides Alencar
163;Travessa Scherer
164;Rua Adão Goulart Andrade
165;Rua XXIX (Cj Cidade Oeste)
166;Rua São Raimundo
167;Rua Alencar de Oliveira Paiva
168;Rua Romana Rezende Silva
169;Rua Vênus
170;Rua Diário de Pernambuco
171;Rua Efana
172;Rua Abadessa Gertrudes Prado
173;1ª Travessa Ary Peter
174;Rua Maria Bruch
175;Rua Agente Waldemar Pimentel
176;Rua F
177;Rua Antônio Jacob Chagas
178;Avenida Três (Vl Elisa)
179;Travessa São Francisco de Paula
180;Rua Miguel Elias
181;Rua Barão do Rio Branco
182;Rua 23 A
183;SQ 21 Quadra 10
184;Rua Valparaíba
185;Avenida Mário Andreazza
186;Travessa Amoreira
187;Avenida Adalberto Simão Nader
188;Rua Hidrolândia
189;Rua Sargento Walter Costa
190;QS 12 Conjunto 2
191;Rua Capivari
192;Beco do Jovita
193;Rua Durval Pacheco de Carvalho
194;Rua Itaipé
195;Estrada Pau Pombo
196;Rua Troglodita
197;Rua Newton Barbosa
198;Praça Getúlio Vargas
199;Avenida do Brasil
200;Rua Amaro Severino da Silva
201;Travessa Mambrini
202;Travessa Tupiniquins
203;Avenida Fé em Deus
204;Rua da Intendência
205;Rua São Sebastião
206;404 Norte Alameda 15
207;Rua André de Jesus Silva
208;Rua João Pedro Nunes da Silveira
209;Praça Otávio Augusto de Barros Meira
210;Rua Professor Emílio José Amar Ubá
211;Avenida Castro
212;Rua Ipanema
213;Rua Doze
214;Conjunto Monte Líbano
215;Rua Brisa do Mar
216;Rua Luiz de Andrade Silveira
217;Rua Timbó
218;Rua Nicomedes Mendes Afonso
219;Alameda Natividade
220;QR 215 Conjunto G
221;Rua A
222;Rua Maria Pereira Machado
223;Vila Dois Irmãos
224;Praça Marcos Antônio Meireles
225;Rua Lindicelma Alves de Jesus
226;Rua Venâncio Correia
227;Vila Dona Moça
228;Travessa 13 de Junho
229;Beco Brasilia
230;Avenida Felipe Salomão
231;Rua B6 (Cj A C Valadares)
232;Quadra 58 Conjunto F
233;Rua Expedicionário José Manoel Oliveira
234;Praça Mem de Sá
235;Rua Rio Zumbi (Com Vl dos Palmares)
236;Rua do Tracuá
237;Rua das Violetas (Res Mte Castelo)
238;Rua José Francisco Guaraci
239;Rua Francisco Xavier de Freitas
240;Rua Cerejeira
241;Rua Frei Caneca
242;Servidão Iedo Manoel de Assunção
243;Rua Manoel Ferreira
244;Rua Edson Matoso
245;Beco Gomes
246;Rua Projetada F
247;Rua Progresso
248;Rua Oitocentos e Quarenta e Um
249;1ª Travessa Praia do Arpoador (Com VI dos Palmares)
250;Quadra 205 Conjunto 13
251;Boulevard Pedro Rattes
252;Rua Rio do Sul
253;Rua Carnaúba
254;Rua Fernando Feitosa
255;Rua Aureliano Barcelos
256;Rua Grandiúva
257;Rua Pedro Camelo
258;Rua Esperança (A Ressurreição)
259;Rua Sadi Antônio Zortea
260;Rua Desembargador Augusto Galvão
261;Rua Jornalista Carlos Castelo Branco
262;Rua Venezuela
263;Rua A (Cj Lga Paixão)
264;Travessa Irapuã
265;Rua Agulhas Negras
266;Rua Frei Afonso
267;Alameda dos Gerânios
268;Avenida Sete de Setembro
269;Rua Oito
270;Rua Carlos Clementino Moreira
271;SHPS Quadra 501 Conjunto B
272;Passagem Coronel Moisés
273;Rua Margarida
274;Rua Bartolomeu de Gusmao
275;Avenida Horácio Macedo
276;Rua José Cloves Resende de Barros
277;Travessa Leidemar Viana Corbari
278;Rua Presságio
279;Rua José Arruda Linhares
280;Rua Rio de Janeiro
281;Rua Pascoal Silva Runque
282;Rua Itaiópolis
283;Travessa Lauro Soares
284;Rua VP 2D
285;Rua Santa Genoveva
286;Rua General Bento Gonçalves
